lostsales,first_var,var_discount,avg_cost,MC_std,train_time_s,forecast_id,agent_id
false,0.1,0.7,-8376.822744556515,526.936290665472,1502.179038038,7,32
false,0.1,0.7,-9638.428376850981,669.5049491052279,1502.179038038,8,32
true,0.03,0.9,-6718.851064640908,334.0604530246687,1565.088472674,1,47
true,0.03,0.9,-9061.401594006697,567.5505306479536,1565.088472674,2,47
true,0.03,0.9,-11969.294678447783,849.768594603251,1565.088472674,3,47
true,0.03,0.9,-9083.663241395105,631.5371002195805,1565.088472674,4,47
true,0.03,0.9,-9047.727502394539,601.0912723286764,1565.088472674,5,47
true,0.03,0.9,-9060.301170977238,599.816709012009,1565.088472674,6,47
true,0.03,0.9,-8470.734189084409,526.1993563776696,1565.088472674,7,47
true,0.03,0.9,-10170.84816654161,696.2545184906583,1565.088472674,8,47
true,0.05,0.7,-6899.368672817951,275.8633687169011,1493.194630328,1,33
true,0.05,0.7,-9181.243966268008,511.1121325774632,1493.194630328,2,33
true,0.05,0.7,-12147.686509580457,804.7340698254238,1493.194630328,3,33
true,0.05,0.7,-9227.810452436595,577.1045734357783,1493.194630328,4,33
true,0.05,0.7,-9209.366041285553,600.1812720565648,1493.194630328,5,33
true,0.05,0.7,-9207.60482124386,596.3984509635637,1493.194630328,6,33
true,0.05,0.7,-8608.790228944044,405.4122566881433,1493.194630328,7,33
true,0.05,0.7,-10312.388744051694,650.5505833899109,1493.194630328,8,33
false,0.03,0.9,-6338.260168656187,266.64512511370253,1563.184549145,1,48
false,0.03,0.9,-8577.442269476996,386.60661253753165,1563.184549145,2,48
false,0.03,0.9,-10925.85544549835,523.5430418008798,1563.184549145,3,48
false,0.03,0.9,-8551.896366402209,392.8738024122958,1563.184549145,4,48
false,0.03,0.9,-8494.173540847405,402.02195111764706,1563.184549145,5,48
false,0.03,0.9,-8493.107195205643,426.95106363909474,1563.184549145,6,48
false,0.03,0.9,-8047.642477833016,355.40653268531383,1563.184549145,7,48
false,0.03,0.9,-9183.078057670005,419.31690513530026,1563.184549145,8,48
false,0.05,0.7,-6469.712849045292,238.37903510612597,1498.331082539,1,34
false,0.05,0.7,-8696.489195293374,342.07759978684396,1498.331082539,2,34
false,0.05,0.7,-11043.837719831132,453.5931517533821,1498.331082539,3,34
false,0.05,0.7,-8698.19727047123,368.806124287516,1498.331082539,4,34
false,0.05,0.7,-8659.6013444005,364.2069042852886,1498.331082539,5,34
false,0.05,0.7,-8630.459308890706,377.71782822200356,1498.331082539,6,34
false,0.05,0.7,-8157.582964526522,314.1770282396613,1498.331082539,7,34
false,0.05,0.7,-9333.40947639618,384.9471037743423,1498.331082539,8,34
true,0.1,0.95,-7050.24213382217,1539.5776187024792,1570.063843872,1,49
true,0.1,0.95,-10601.637644921217,3536.795208991488,1570.063843872,2,49
true,0.1,0.95,-14615.861629370369,4095.646844198387,1570.063843872,3,49
true,0.1,0.95,-10528.174183605188,2655.9924258146198,1570.063843872,4,49
true,0.1,0.95,-10785.042546307144,3114.0607891069976,1570.063843872,5,49
true,0.1,0.95,-10727.594842312907,3101.861473171115,1570.063843872,6,49
true,0.1,0.95,-9664.388389987094,2899.6197149106283,1570.063843872,7,49
true,0.1,0.95,-11897.428529456733,3131.7702475451615,1570.063843872,8,49
true,0.03,0.7,-6646.07487297496,220.8341220356991,1496.741679588,1,35
true,0.03,0.7,-9015.044437450984,397.2251271799988,1496.741679588,2,35
true,0.03,0.7,-11957.185131433245,693.926757414148,1496.741679588,3,35
true,0.03,0.7,-9037.992921811034,463.482612714108,1496.741679588,4,35
true,0.03,0.7,-9042.53616353617,472.2390929691761,1496.741679588,5,35
true,0.03,0.7,-9061.574668695897,524.4511635891997,1496.741679588,6,35
true,0.03,0.7,-8438.647876362556,348.5614087133923,1496.741679588,7,35
true,0.03,0.7,-10103.258524371746,550.9606320439268,1496.741679588,8,35
false,0.1,0.95,-6473.6325471197615,1584.4999005742416,1559.473779123,1,50
false,0.1,0.95,-9592.382382206766,2453.0998385568746,1559.473779123,2,50
false,0.1,0.95,-12823.5204900666,4047.9324306652225,1559.473779123,3,50
false,0.1,0.95,-9626.465828801674,2465.291555306651,1559.473779123,4,50
false,0.1,0.95,-9632.53572743594,3644.160714355654,1559.473779123,5,50
false,0.1,0.95,-9674.096639151225,3064.4840996749504,1559.473779123,6,50
false,0.1,0.95,-8868.415862050466,2583.6318983249175,1559.473779123,7,50
false,0.1,0.95,-10449.607257372727,3485.2705937102673,1559.473779123,8,50
false,0.03,0.7,-6389.626768618862,185.96259817530776,1498.729972291,1,36
false,0.03,0.7,-8618.917411877816,255.7344475786033,1498.729972291,2,36
false,0.03,0.7,-10991.03959249811,347.77610055224005,1498.729972291,3,36
false,0.03,0.7,-8591.507567327888,266.0619852837794,1498.729972291,4,36
false,0.03,0.7,-8569.925109357435,288.1292860579496,1498.729972291,5,36
false,0.03,0.7,-8515.699233253725,308.74500443157785,1498.729972291,6,36
false,0.03,0.7,-8080.931145883595,231.2651981131607,1498.729972291,7,36
false,0.03,0.7,-9224.626643466205,287.477579828903,1498.729972291,8,36
true,0.05,0.95,-6780.01992719176,598.7712445097311,1563.468370507,1,51
true,0.05,0.95,-9211.499650277336,913.2919624552424,1563.468370507,2,51
true,0.05,0.95,-12279.436385211115,1582.3317814250815,1563.468370507,3,51
true,0.05,0.95,-9270.316064916586,1145.5890655648504,1563.468370507,4,51
true,0.05,0.95,-9301.87841496938,1085.3699706221719,1563.468370507,5,51
true,0.05,0.95,-9395.706700439003,1281.8838751606634,1563.468370507,6,51
true,0.05,0.95,-8625.328120511234,976.5841243099218,1563.468370507,7,51
true,0.05,0.95,-10386.989456026165,1138.5745103398106,1563.468370507,8,51
true,0.1,0.8,-6784.3089743539795,624.7307986409193,1497.594852241,1,37
true,0.1,0.8,-9705.673831408576,1077.5174152750967,1497.594852241,2,37
true,0.1,0.8,-13339.34551782249,1839.4047706457575,1497.594852241,3,37
true,0.1,0.8,-9918.52834505857,1313.7385538698265,1497.594852241,4,37
true,0.1,0.8,-9940.323283607617,1415.4730425567266,1497.594852241,5,37
true,0.1,0.8,-9748.68196088376,1213.263530160568,1497.594852241,6,37
true,0.1,0.8,-9056.636867760744,1009.7456295829691,1497.594852241,7,37
true,0.1,0.8,-10959.149502297909,1290.1554219114685,1497.594852241,8,37
false,0.05,0.95,-6359.654560929749,477.1121717272832,1559.303827732,1,52
false,0.05,0.95,-8746.366250342493,766.0162605194209,1559.303827732,2,52
false,0.05,0.95,-11257.827472992325,1218.5608380364843,1559.303827732,3,52
false,0.05,0.95,-8708.02526288853,779.2124135318579,1559.303827732,4,52
false,0.05,0.95,-8714.563611915102,827.9430774464417,1559.303827732,5,52
false,0.05,0.95,-8689.33490593118,780.7985839373957,1559.303827732,6,52
false,0.05,0.95,-8158.387251362648,700.2293958026978,1559.303827732,7,52
false,0.05,0.95,-9391.108335900524,916.215147134398,1559.303827732,8,52
false,0.1,0.8,-6408.999315794066,492.5142086734117,1495.813722554,1,38
false,0.1,0.8,-9032.492806291524,777.5894025022005,1495.813722554,2,38
false,0.1,0.8,-11736.417128490684,1041.9268488261755,1495.813722554,3,38
false,0.1,0.8,-8998.64255916111,778.9297758694204,1495.813722554,4,38
false,0.1,0.8,-9033.92012185837,817.4842474228499,1495.813722554,5,38
false,0.1,0.8,-8977.706646114159,797.9483588291449,1495.813722554,6,38
false,0.1,0.8,-8403.667238279802,704.1426780309207,1495.813722554,7,38
